iter	Passed	Remaining
0	0	69
1	1	61
2	1	58
3	2	53
4	2	52
5	3	51
6	3	50
7	4	49
8	4	49
9	5	48
10	5	48
11	6	48
12	7	49
13	8	50
14	8	49
15	9	48
16	9	47
17	10	47
18	10	46
19	11	45
20	12	46
21	12	45
22	13	44
23	14	44
24	14	44
25	15	44
26	16	44
27	16	43
28	17	43
29	18	42
30	18	41
31	19	41
32	20	40
33	20	40
34	21	39
35	22	39
36	22	38
37	23	38
38	23	37
39	24	36
40	25	36
41	25	35
42	26	34
43	26	34
44	27	33
45	28	33
46	28	32
47	29	31
48	30	31
49	30	30
50	31	30
51	32	29
52	32	29
53	33	28
54	33	27
55	34	27
56	35	26
57	35	25
58	36	25
59	36	24
60	37	23
61	38	23
62	38	22
63	39	22
64	39	21
65	40	20
66	41	20
67	41	19
68	42	19
69	42	18
70	43	17
71	44	17
72	44	16
73	45	16
74	46	15
75	46	14
76	47	14
77	47	13
78	48	12
79	48	12
80	49	11
81	49	10
82	50	10
83	50	9
84	51	9
85	52	8
86	52	7
87	53	7
88	54	6
89	54	6
90	55	5
91	55	4
92	56	4
93	57	3
94	57	3
95	58	2
96	58	1
97	59	1
98	60	0
99	61	0
