iter	Passed	Remaining
0	100	100428
1	101	50461
2	101	33789
3	102	25446
4	102	20440
5	103	17100
6	103	14712
7	104	12923
8	104	11536
9	105	10427
10	105	9518
11	106	8760
12	106	8116
13	107	7564
14	107	7085
15	108	6666
16	108	6297
17	109	5968
18	109	5674
19	110	5409
20	110	5169
21	111	4955
22	112	4758
23	112	4576
24	113	4408
25	113	4253
26	114	4109
27	114	3975
28	115	3851
29	115	3735
30	116	3626
31	116	3524
32	117	3429
33	117	3340
34	118	3256
35	118	3176
36	119	3101
37	119	3029
38	120	2960
39	120	2896
40	121	2834
41	121	2775
42	122	2719
43	122	2666
44	123	2614
45	123	2567
46	124	2520
47	124	2476
48	125	2433
49	125	2392
50	126	2352
51	126	2314
52	127	2277
53	127	2241
54	128	2207
55	128	2173
56	129	2141
57	130	2111
58	130	2082
59	131	2053
60	131	2025
61	132	1998
62	132	1971
63	133	1946
64	133	1921
65	134	1897
66	134	1874
67	135	1851
68	135	1829
69	136	1808
70	136	1787
71	137	1768
72	137	1748
73	138	1729
74	138	1710
75	139	1692
76	139	1674
77	140	1657
78	140	1640
79	141	1624
80	141	1607
81	142	1592
82	142	1574
83	143	1560
84	143	1546
85	144	1532
86	144	1519
87	145	1505
88	145	1492
89	146	1479
90	146	1466
91	147	1454
92	147	1442
93	148	1430
94	148	1418
95	149	1407
96	149	1395
97	150	1384
98	150	1373
99	151	1362
100	151	1352
101	152	1341
102	152	1331
103	153	1322
104	154	1313
105	154	1303
106	155	1294
107	155	1284
108	156	1275
109	156	1266
110	157	1258
111	157	1250
112	158	1241
113	158	1234
114	159	1226
115	160	1219
116	160	1211
117	161	1203
118	161	1195
119	162	1188
120	162	1180
121	162	1172
122	163	1165
123	163	1158
124	164	1151
125	164	1144
126	165	1136
127	165	1130
128	166	1124
129	167	1117
130	167	1111
131	168	1104
132	168	1098
133	169	1092
134	169	1086
135	170	1080
136	170	1074
137	171	1068
138	171	1063
139	172	1057
140	172	1052
141	173	1045
142	173	1040
143	174	1034
144	174	1029
145	175	1024
146	175	1019
147	176	1013
148	176	1008
149	177	1003
150	177	998
151	178	993
152	178	989
153	179	985
154	179	980
155	180	975
156	180	971
157	181	966
158	181	961
159	182	957
160	182	952
161	183	947
162	183	943
163	184	939
164	184	935
165	185	931
166	185	927
167	186	923
168	186	919
169	187	915
170	188	911
171	188	907
172	189	903
173	189	899
174	190	895
175	190	892
176	191	888
177	191	885
178	192	881
179	192	877
180	193	874
181	193	870
182	194	866
183	194	863
184	195	859
185	195	856
186	196	852
187	196	849
188	197	846
189	197	843
190	198	840
191	198	836
192	199	833
193	199	830
194	200	827
195	200	824
196	201	820
197	201	817
198	202	814
199	202	811
200	203	809
201	204	806
202	204	803
203	205	800
204	205	797
205	206	794
206	206	791
207	207	788
